"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"The concept of personalization is nothing wrong for me, but the question would be whether algorithms can simply do the work? #DSE16",FALSE,0,NA,2016-02-25 19:53:06,FALSE,NA,"702944429724794880",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Fengmei_L",0,FALSE,FALSE,NA,NA
"DSE 2016 To Showcase World’s Newest Digital Signage Technolgy #digitalsignage #DSE16 https://t.co/cXvY9RpYfU https://t.co/cxx7SjODoS",FALSE,1,NA,2016-02-25 19:49:51,FALSE,NA,"702943612330356736",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Videoteldigital",0,FALSE,FALSE,NA,NA
"DSE 2016 To Showcase World’s Newest Digital Signage Technolgy #digitalsignage #DSE16 https://t.co/6uHlsp2HVr https://t.co/Iiz8GlFLX7",FALSE,1,NA,2016-02-25 19:49:26,FALSE,NA,"702943505916628992",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","LisaVideotel",0,FALSE,FALSE,NA,NA
"Is anyone else having issues with linear.correlation and cutoff.k not being found even though packages are installed in R? #DSE16 #IDKWGO",FALSE,0,NA,2016-02-25 18:32:27,FALSE,NA,"702924132346949632",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","claireninja",0,FALSE,FALSE,NA,NA
"Hi Charles, may we have the class presentation slides updated at Github, if you have time? Many thanks! @learng00d #dse16",FALSE,0,NA,2016-02-25 17:02:13,FALSE,NA,"702901423764316160",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Fengmei_L",0,FALSE,FALSE,NA,NA
"#dse16 Can situated learning b seen as personalization if the situatedness is individually selected for the student?",FALSE,0,NA,2016-02-25 03:38:07,FALSE,NA,"702699067399413762",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","CmHovey",0,FALSE,FALSE,NA,NA
"@claireninja IMO learning to learn in new ways is good for cognitive flexibility and developing critical thinking, so maybe so #dse16",FALSE,0,"claireninja",2016-02-25 03:26:38,FALSE,"702670642810896384","702696176299200514","197808503","<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","CmHovey",0,FALSE,FALSE,NA,NA
"\"this requires developing strategies which can marry the needs of children and teachers\" Ya, we need to take in2 account the teachers #DSE16",FALSE,0,NA,2016-02-25 01:54:52,FALSE,NA,"702673083769950209",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","claireninja",0,FALSE,FALSE,NA,NA
"Good point about the metacognitive impact of personalized learning. Would it strip users from learning to learn in different styles? #DSE16",FALSE,1,NA,2016-02-25 01:45:10,FALSE,NA,"702670642810896384",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","claireninja",0,FALSE,FALSE,NA,NA
"#DSE16 perhaps this method may benefit students with disabilities or gifted learners as each has special needs.",FALSE,1,NA,2016-02-25 01:24:25,FALSE,NA,"702665420931780608",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","EllenModlin",0,FALSE,FALSE,NA,NA
